73,13,,,,,3-2/17-25/27-29/25-12/30-28/15-7,0,
74,13,,,,,3-0/25-14/25-20/25-17/0-0/0-0,0,
75,13,,,,,3-1/25-16/24-26/25-23/25-16/0-0,0,rinv. 7/3/22
76,13,,,,,2-3/26-24/25-21/24-26/8-25/8-15,0,
77,13,,,,,3-1/25-18/20-25/25-9/25-14/0-0,0,
78,13,,,,,3-0/25-9/25-8/25-20/0-0/0-0,0,
79,14,,,,,3-0/25-13/25-20/25-21/0-0/0-0,0,
80,14,,,,,3-0/25-11/25-19/25-21/0-0/0-0,0,
81,14,,,,,1-3/16-25/25-21/11-25/13-25/0-0,0,
82,14,,,,,2-3/23-25/21-25/25-20/25-16/4-15,0,
83,14,,,,,1-3/20-25/25-21/19-25/12-25/0-0,0,
84,14,,,,,0-3/8-25/13-25/22-25/0-0/0-0,0,
85,15,,,,,3-1/25-18/18-25/25-17/25-10/0-0,0,
86,15,,,,,0-3/20-25/10-25/24-26/0-0/0-0,0,
87,15,,,,,1-3/22-25/25-20/22-25/19-25/0-0,0,
88,15,,,,,3-1/21-25/25-23/25-17/25-13/0-0,0,
89,15,,,,,3-2/23-25/25-14/25-17/19-25/15-10,0,
90,15,,,,,1-3/24-26/25-13/23-25/21-25/0-0,0,
91,16,,,,,0-3/23-25/23-25/10-25/0-0/0-0,0,
92,16,,,,,3-0/25-19/25-13/25-19/0-0/0-0,0,
93,16,,,,,1-3/23-25/22-25/25-22/15-25/0-0,0,
94,16,,,,,3-1/27-25/21-25/25-11/25-19/0-0,0,rinv. 21/4/22
95,16,,,,,1-3/24-26/26-24/11-25/12-25/0-0,0,
96,16,,,,,3-0/25-11/25-23/25-17/0-0/0-0,0,
97,17,,,,,0-3/15-25/24-26/10-25/0-0/0-0,0,rinv. 30/3/22
98,17,,,,,3-1/16-25/25-19/25-16/25-16/0-0,0,
99,17,,,,,3-0/29-27/25-21/25-18/0-0/0-0,0,rinv. 27/4/22
100,17,,,,,3-0/25-17/25-20/25-21/0-0/0-0,0,
101,17,,,,,3-2/20-25/25-17/26-28/25-15/15-12,0,
102,17,,,,,3-0/25-21/25-20/25-16/0-0/0-0,0,
103,18,,,,,3-0/25-13/25-15/25-14/0-0/0-0,0,
104,18,,,,,3-0/27-25/25-19/26-24/0-0/0-0,0,
105,18,,,,,3-2/23-25/21-25/25-23/26-24/16-14,0,
106,18,,,,,2-3/25-16/27-25/24-26/26-28/14-16,0,
107,18,,,,,3-0/26-24/25-14/25-15/0-0/0-0,0,
108,18,,,,,1-3/26-24/21-25/16-25/22-25/0-0,0,
109,19,,,,,3-1/17-25/25-11/25-20/25-23/0-0,0,
110,19,,,,,1-3/26-28/17-25/25-19/14-25/0-0,0,
111,19,,,,,0-3/9-25/14-25/17-25/0-0/0-0,0,
112,19,,,,,0-3/12-25/23-25/25-27/0-0/0-0,0,
113,19,,,,,3-1/26-24/24-26/25-21/25-20/0-0,0,
114,19,,,,,3-2/26-24/22-25/29-27/23-25/15-11,0,
115,20,,,,,3-0/25-14/25-19/25-16/0-0/0-0,0,
116,20,,,,,0-3/19-25/24-26/9-25/0-0/0-0,0,
117,20,,,,,3-1/25-22/14-25/25-19/25-17/0-0,0,
118,20,,,,,3-2/17-25/25-18/16-25/25-19/15-13,0,
